Brands,Buyer,Buyer PO,Color,Commercial Inv. No.,Customer Group,Customer Style,Delivery Date,Division,Gender,Invoice No,Item,Order Type,Plant,Season,Ship Date,Style,Currency,Rate,Exchange Rate,USD Rate,Quantity,Net Value,Ship Quantity,INR Value,USD Value,Delivery_Delay_Days,On_Time_Flag,In_Full_Flag,OTIF_Flag,Delayed,Days_Left,Order_Value,Order_Age,PR_Created_Date,PR_Delay_Days,PR_Approved_Date,Plant_Load_%,Not_Shipped_Flag
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1117378,ECLIPSE NAVY,Not Generated,SUPER DRY,M1110449A BUY-5,15-01-2026,KNITS,MEN,Not Generated,POLO,BULK,MANESAR-407 (KNITS),SS26,15-01-2026,SU10100345,GBP,6.35,117.9,89.1,270,1714.5,0,202139.55,2268.68,0,0,0,0,0,-36,2268.68,44,02-12-2025,8,10-12-2025,98.61386139,0
CALVIN KLEIN,PVH CORP.,5200027786,BLACK,4000016615,PVH CORP,4RF219G,24-07-2025,KNITS,MEN,RGUP25101151,TEE,BULK,NOIDA - D-49-50 (KNITS),HO25,24-07-2025,PC10100080,USD,6.43,85.09,85.1,504,3240.72,504,275752.86,3240.34,0,0,1,0,0,-211,3240.34,44,11-06-2025,8,19-06-2025,67.72277228,1
PERUNA T-53,MARKS AND SPENCER PLC,2031129265,YELLOW MIX,4000021165,MARK & SPENCER,2607U,28-12-2025,WOVEN,WOMEN,RGHR25106928,BLOUSE,BULK,MANESAR-166 (WOVEN),SP26,28-12-2025,MS11100362,USD,10.85,89.59,89.55,105,1139.25,105,102065.41,1139.76,0,0,1,0,0,-54,1139.76,84,24-11-2025,9,03-12-2025,79.40594059,1
CALVIN KLEIN,PVH CORP.,4100038978,BLACK,4000019587,PVH CORP,4LF811G,17-11-2025,KNITS,MEN,RGUP25101913,TEE,BULK,NOIDA - B-33-34 (KNITS),SP26,17-11-2025,PC10100106,USD,5.7,87.75,87.75,1514,8629.8,1514,757264.95,8629.8,0,1,1,1,0,-95,8629.8,46,15-10-2025,5,20-10-2025,89.30693069,1
HAVEN,TALBOTS IMPORT LLC.,6367319,TBD DK INDIGO WASH,4000019320,TALBOTS,261730139,07-11-2025,KNITS,WOMEN,RGHR25105536,PANTS,BULK,GURUGRAM-232 (KNITS),SP26,07-11-2025,TA10100086,USD,20.44,87,87.75,27,551.88,27,48013.56,547.16,0,1,1,1,0,-105,547.16,87,14-10-2025,8,22-10-2025,106.9306931,1
LOFT,PREMIUM BRANDS OPCO LLC,5015166,DEEP SPACE BLUE,4000020413,PREMIUM BRANDS,764948,06-12-2025,KNITS,WOMEN,RGHR25106566,SWEATSHIR,BULK,GURUGRAM-418 (KNITS),SP26,06-12-2025,PB10100423,USD,5.94,87.79,89.6,3370,20017.8,3370,1757362.66,19613.42,0,0,1,0,0,-76,19613.42,65,09-11-2025,23,02-12-2025,69.5049505,1
J.JILL,JILL ACQUISITION LLC,3045795,SOFT OLIVE LEAF,4000016885,J.JILL,KTP323681 HO25,06-08-2025,KNITS,WOMEN,RGHR25103659,TOP,BULK,GURUGRAM-232 (KNITS),HO25,06-08-2025,JJ10100091,USD,8.88,85.09,85.1,485,4306.8,491,366465.61,4306.29,0,0,1,0,0,-198,4306.29,75,07-07-2025,7,14-07-2025,87.72277228,1
OLDER GIRLS T-74,MARKS AND SPENCER PLC,2012845694,RED MIX,4000017807,MARK & SPENCER,0996E,31-08-2025,WOVEN,KIDS,RGHR25104279,DRESS,BULK,GURUGRAM-227 (WOVEN),WI25,31-08-2025,MS11100260,USD,12.7,86.2,86.2,1350,17145,1371,1477899,17145,0,0,1,0,0,-173,17145,83,26-07-2025,9,04-08-2025,65.34653465,1
J.JILL,JILL ACQUISITION LLC,3048405,NAVY BLUE,Not Generated,J.JILL,KTP350273,28-01-2026,KNITS,WOMEN,Not Generated,TANK,BULK,GURUGRAM-232 (KNITS),SP26,28-01-2026,JJ10100282,USD,5.38,88,89.1,144,774.72,0,68175.36,765.16,0,1,0,0,0,-23,765.16,52,01-01-2026,5,06-01-2026,81.18811881,0
WOMENS RETAIL,J.CREW OPERATING CORP,1802143,BL8227 FRENCH,Not Generated,J.CREW,CG940/228566-SU26,29-01-2026,WOVEN,WOMEN,Not Generated,SHIRT,BULK,MANESAR-181 (WOVEN),SU26,29-01-2026,JC11100524,USD,26.74,89.6,89.1,1377,36820.98,0,3299159.81,37027.61,0,1,0,0,0,-22,37027.61,12,26-12-2025,9,04-01-2026,75.84158416,0
BEACHWEAR T-52,MARKS AND SPENCER PLC,2012941450,PEAT,Not Generated,MARK & SPENCER,2638-REG/TAL,22-02-2026,WOVEN,WOMEN,Not Generated,TROUSER,BULK,NOIDA - B-14 (WOVEN),SU26,22-02-2026,MS11100707,USD,6.65,89.55,89.1,35,232.75,0,20842.76,233.93,0,0,0,0,0,2,233.93,75,20-01-2026,3,23-01-2026,107.5247525,0
CALVIN KLEIN,AMERICAN DESIGNER FASHION S.A.,4100042676,BLUE NOMAD,Not Generated,PVH CORP,4LF252G SU26,31-01-2026,KNITS,MEN,Not Generated,TEE,BULK,NOIDA - B-33-34 (KNITS),SU26,31-01-2026,PC10100134,USD,7.75,87.75,89.1,136,1054,0,92488.5,1038.03,0,0,0,0,0,-20,1038.03,36,31-12-2025,8,08-01-2026,66.13861386,0
LANDS END,"LANDS END REEDSBURG, USA",215305,I7O LIGHT SEA BLUE,4000019646,LANDS END,556428-REGULAR,15-12-2025,WOVEN,MENS,RGHR25105853,PANTS,BULK,GURUGRAM-227 (WOVEN),SS26,15-12-2025,LE11100113,USD,11.95,87.75,89.6,580,6931,580,608195.25,6787.89,0,1,1,1,0,-67,6787.89,61,01-11-2025,4,05-11-2025,116.8316832,1
CALVIN KLEIN,CALVIN KLEIN EUROPE BV,4500628894,BRIGHT WHITE,4000018681,PVH CORP,4RF820G,15-10-2025,KNITS,MEN,RGHR25104969,TEE,BULK,MANESAR-407 (KNITS),SP26,15-10-2025,PC10100124,USD,7.7,88,88,3300,25410,3300,2236080,25410,0,0,1,0,0,-128,25410,22,11-09-2025,24,05-10-2025,86.93069307,1
ATS,PREMIUM BRANDS OPCO LLC,5021991,WHITE,Not Generated,PREMIUM BRANDS,854964,20-03-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,MANESAR-427 (WOVEN),SU26,20-03-2026,PB11100790,USD,6,89.6,89.1,664,3984,0,356966.4,4006.36,0,0,0,0,0,28,4006.36,36,17-02-2026,6,23-02-2026,78.61386139,0
WOMENS RETAIL,J.CREW OPERATING CORP,2768002 PPK,BK0001 BLACK,4000017622,J.CREW,CQ191/251954,21-08-2025,WOVEN,WOMEN,RGHR25104163,SHIRT,BULK,MANESAR-181 (WOVEN),HO25,21-08-2025,JC11100239,USD,16.9,86.9,86.9,1140,19266,1140,1674215.4,19266,0,0,1,0,0,-183,19266,11,17-07-2025,6,23-07-2025,68.51485149,1
CALVIN KLEIN,CALVIN KLEIN EUROPE BV,4500638860,BRIGHT WHITE,4000020031,PVH CORP,4RE825G,26-11-2025,KNITS,MEN,RGUP25102038,TEE,BULK,NOIDA - D-53-54 (KNITS),SP26,26-11-2025,PC10100125,USD,5.6,87.75,87.8,2218,12420.8,2218,1089925.2,12413.73,0,0,1,0,0,-86,12413.73,15,23-10-2025,24,16-11-2025,67.32673267,1
LOU & GREY,PREMIUM BRANDS OPCO LLC,5002422,FROSTED HEATHER,4000016937,PREMIUM BRANDS,772074,04-08-2025,KNITS,WOMEN,RGHR25103905,PANTS,BULK,GURUGRAM-418 (KNITS),WI25,04-08-2025,PB10100208,USD,14.6,86.9,85.1,2500,36500,2500,3171850,37272.03,0,1,1,1,0,-200,37272.03,27,07-07-2025,22,29-07-2025,91.08910891,1
CORE,MGF SOURCING FAR EAST LIMITED,6348718,C65 VIOLETTA MULTI,4000015730,TALBOTS,253075198P,01-07-2025,WOVEN,WOMEN,RGHR25102880,TOP,BULK,GURUGRAM-215 (WOVEN),FA25,01-07-2025,TA11100037,USD,10.19,85.95,85.95,84,855.96,84,73569.76,855.96,0,1,1,1,0,-234,855.96,34,27-05-2025,7,03-06-2025,77.02970297,1
SLEEPWEAR,HANNA ANDERSON,34566,HPR-31822 65Z,Not Generated,HANNA ANDERSSON,84434,16-01-2026,KNITS,KIDS,Not Generated,TOP,BULK,NOIDA - D-53-54 (KNITS),SU26,16-01-2026,HA10100202,USD,2.35,88,89.1,17790,41806.5,0,3678972,41290.37,0,0,0,0,0,-35,41290.37,21,17-12-2025,17,03-01-2026,94.05940594,0
CREWCUT RETAIL,J.CREW CREW CUTS RETAIL DC,5095624 PPK,RD5133 FESTIVAL,4000022022,J.CREW,CR546/245648,01-01-2026,WOVEN,GIRLS,RGHR25107556,SHORTS,BULK,GURUGRAM-227 (WOVEN),SP26,01-01-2026,JC11100557,USD,11.6,89.54,89.55,900,10440,900,934797.6,10438.83,0,1,1,1,0,-50,10438.83,63,01-12-2025,6,07-12-2025,81.38613861,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1113959,LILY PAD GREEN,4000021315,SUPER DRY,M6010956A BUY 2,05-11-2025,KNITS,MEN,RGHR25107105,TOP,BULK,MANESAR-407 (KNITS),SS26,05-11-2025,SU10100233,GBP,5.75,115.98,87,1600,9200,1592,1067016,12264.55,0,0,0,0,0,-107,12264.55,89,05-10-2025,8,13-10-2025,65.34653465,1
ATS,PREMIUM BRANDS OPCO LLC,5015083,ELECTRIC PERIWINKL,4000019325,PREMIUM BRANDS,588389P SP26,07-11-2025,WOVEN,WOMEN,RGHR25105508,TOP,BULK,GURUGRAM-294 (WOVEN),SP26,07-11-2025,PB11100561,USD,7.87,87,87.75,325,2557.75,325,222524.25,2535.89,0,0,1,0,0,-105,2535.89,61,24-09-2025,3,27-09-2025,106.9306931,1
WOMENS RETAIL,J.CREW OPERATING CORP,1802839,WT0002 WHITE,Not Generated,J.CREW,CT056/263864-SP26,05-02-2026,WOVEN,WOMEN,Not Generated,SHORTS,BULK,GURUGRAM-215 (WOVEN),SP26,05-02-2026,JC11100584,USD,14.3,87.15,89.1,1419,20291.7,0,1768421.66,19847.61,0,0,0,0,0,-15,19847.61,35,11-01-2026,7,18-01-2026,119.009901,0
TOMMY BAHAMA SPORSTWEAR,TOMMY BAHAMA GLOBAL SOURCING,494240 B,BLUE RADIANCE,4000020752,TOMMY BAHAMA,261-BT327196 DEC,20-12-2025,WOVEN,MEN,RGHR25106638,SHIRT,BULK,MANESAR-181 (WOVEN),SP26,20-12-2025,TB11100044,USD,17.98,89.59,89.55,70,1258.6,71,112757.97,1259.16,0,0,1,0,0,-62,1259.16,48,29-11-2025,9,08-12-2025,64.95049505,1
CORE,TALBOTS IMPORT LLC.,6493942,RED POP,Not Generated,TALBOTS,262036280W,06-03-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,NOIDA - A-36 (WOVEN),SU26,06-03-2026,TA11100296,USD,2,89.6,89.1,259,518,0,46412.8,520.91,0,1,0,0,0,14,520.91,75,30-01-2026,3,02-02-2026,140,0
CROWN & IVY,BELK,2690196,HARBOR NAVY,4000020043,BELK INTL.,72827SPH000007,23-11-2025,WOVEN,WOMEN,RGHR25106020,SHORTS,BULK,MANESAR-11 (WOVEN),SP26,23-11-2025,BI11100250,USD,6.63,87.75,87.8,954,6325.02,954,555020.51,6321.42,0,0,1,0,0,-89,6321.42,82,10-10-2025,6,16-10-2025,103.1683168,1
BEACHWEAR T-52,MARKS AND SPENCER PLC,2012941143,WHITE MIX,Not Generated,MARK & SPENCER,8592-REP,15-02-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,MANESAR-7/4 (WOVEN),SU26,15-02-2026,MS11100529,USD,7.7,89.1,89.1,1000,7700,0,686070,7700,0,0,0,0,0,-5,7700,39,17-01-2026,5,22-01-2026,103.5643564,0
LOU & GREY,PREMIUM BRANDS OPCO LLC,5010105,WHISPER WHITE 4899,4000019344,PREMIUM BRANDS,777410P SP26,07-11-2025,KNITS,WOMEN,RGHR25105521,SWEATSHIR,BULK,GURUGRAM-418 (KNITS),SP26,07-11-2025,PB10100360,USD,11.56,87,87.75,150,1734,150,150858,1719.18,0,0,1,0,0,-105,1719.18,80,12-10-2025,7,19-10-2025,106.9306931,1
BABY TODDLER,HANNA ANDERSON,34545,60J RED FLOWERS ON,Not Generated,HANNA ANDERSSON,84658,16-01-2026,WOVEN,TODDLER,Not Generated,SHORTS,BULK,NOIDA - D-53-54 (WOVEN),SU26,16-01-2026,HA11100198,USD,3.24,88,89.1,1272,4121.28,0,362672.64,4070.4,0,0,0,0,0,-35,4070.4,82,13-12-2025,8,21-12-2025,94.05940594,0
CALVIN KLEIN,PVH ARVIND FASHION PRIVATE LIM,7100017566,PEARLY PINK,Not Generated,PVH CORP,47C201G-HO25,04-08-2025,KNITS,WOMENS,Not Generated,TOP,BULK,NOIDA - B-33-34 (KNITS),HO25,04-08-2025,PC10100066,INR,436.9,1,85.1,30,13107,0,13107,154.02,0,1,0,0,0,-200,154.02,7,24-06-2025,5,29-06-2025,91.08910891,0
ATFS,PREMIUM BRANDS OPCO LLC,5013549,MARNI JACQ NAVY,4000020148,PREMIUM BRANDS,866704,21-11-2025,KNITS,WOMEN,RGHR25106132,SKIRTS,BULK,GURUGRAM-418 (KNITS),SP26,21-11-2025,PB10100413,USD,9.25,87.79,87.8,1366,12635.5,1380,1109270.55,12634.06,0,0,1,0,0,-91,12634.06,29,10-10-2025,9,19-10-2025,67.52475248,1
CROWN & IVY,"BELK INTERNATIONAL,INC",2690117,BATH BLUE,4000018535,BELK INTL.,33727SP0000420,26-10-2025,WOVEN,MEN,RGHR25105060,SHORTS,BULK,MANESAR-11 (WOVEN),SP26,26-10-2025,BI11100240,USD,5.61,88,87,2476,13890.36,2476,1222351.68,14050.02,0,0,1,0,0,-117,14050.02,74,24-09-2025,22,16-10-2025,82.37623762,1
ATS,PREMIUM BRANDS OPCO LLC,5010350,DUSTY MAUVE/WHITE,4000019414,PREMIUM BRANDS,854547,01-11-2025,KNITS,WOMEN,RGHR25105582,TOP,BULK,GURUGRAM-418 (KNITS),SP26,01-11-2025,PB10100343,USD,9.88,87,87,830,8200.4,830,713434.8,8200.4,0,1,1,1,0,-111,8200.4,71,03-10-2025,3,06-10-2025,63.76237624,1
SUPERDRY KIDS,NEXT P.L.C.,CI8434762,MARINER NAVY,4000017736,NEXT PLC,SDOGAW25076 H73056,28-08-2025,KNITS,KIDS,RGUP25101455,JOGGERS,BULK,NOIDA - D-53-54 (KNITS),AW25,28-08-2025,NE10100137,USD,8.47,86.2,86.2,100,847,100,73011.4,847,0,1,1,1,0,-176,847,36,31-07-2025,3,03-08-2025,61.98019802,1
LANDS END,"LANDS END REEDSBURG, USA",215290,OHB WHITE MULTI PA,4000020709,LANDS END,556413-XR,03-12-2025,WOVEN,MENS,RGHR25106602,PANTS,BULK,GURUGRAM-227 (WOVEN),SS26,03-12-2025,LE11100116,USD,13,87.79,87.8,177,2301,177,202004.79,2300.74,0,1,1,1,0,-79,2300.74,33,28-10-2025,4,01-11-2025,86.33663366,1
BEACHWEAR T-52,MARKS AND SPENCER RELIANCE,25-04983,BROWN MIX,Not Generated,MARK & SPENCER,8583-PET,14-12-2025,WOVEN,WOMEN,Not Generated,DRESS,BULK,MANESAR-7/4 (WOVEN),SP26,14-12-2025,MS11100437,INR,1920,1,89.6,1048,2012160,0,2012160,22457.14,0,0,0,0,0,-68,22457.14,48,31-10-2025,5,05-11-2025,74.65346535,0
LOS,PREMIUM BRANDS OPCO LLC,5021918,DEEP SPACE BLUE,Not Generated,PREMIUM BRANDS,791733,27-02-2026,KNITS,WOMEN,Not Generated,TANK,BULK,GURUGRAM-871 (KNITS),SU26,27-02-2026,PB10100565,USD,3.45,89.6,89.1,3500,12075,0,1081920,12142.76,0,1,0,0,0,7,12142.76,47,17-01-2026,22,08-02-2026,71.08910891,0
OUTLET,CHICOS RETAIL SERVICES INC.,4502229476,MIDNIGHT,Not Generated,CHICO'S,202-25C133727,20-01-2026,KNITS,WOMEN,Not Generated,TOP,BULK,NOIDA - B-33-34 (KNITS),SP26,20-01-2026,CH10100056,USD,3.38,87.75,89.1,600,2028,0,177957,1997.27,0,0,0,0,0,-31,1997.27,67,10-12-2025,8,18-12-2025,81.58415842,0
CALVIN KLEIN,PVH CORP.,7100018611,BLACK,4000020026,PVH CORP,4RAB819,22-11-2025,KNITS,MEN,RGUP25102034,TEE,BULK,NOIDA - D-53-54 (KNITS),SP26,22-11-2025,PC10100099,USD,5.28,87.75,87.8,264,1393.92,264,122316.48,1393.13,0,0,1,0,0,-90,1393.13,44,19-10-2025,4,23-10-2025,64.55445545,1
OLDER BOYS T-87,MARKS AND SPENCER PLC,Sri Lanka Hub,BLACK,Not Generated,MARK & SPENCER,3217J,15-02-2026,WOVEN,KIDS,Not Generated,SHIRT,BULK,MANESAR-7/4 (WOVEN),SU26,15-02-2026,MS11100642,USD,6,89.6,89.1,320,1920,0,172032,1930.77,0,0,0,0,0,-5,1930.77,86,16-01-2026,5,21-01-2026,103.5643564,0
J.JILL,NEWTIMES MACAO COMMERCIAL OFFS,3045186,MINK,4000016025,J.JILL,KTP328591 WOMEN,09-07-2025,KNITS,WOMEN,RGHR25103090,SWEATSHIR,BULK,GURUGRAM-232 (KNITS),FA25,09-07-2025,JJ10100034,USD,9.98,84.5,84.5,103,1027.94,104,86860.93,1027.94,0,0,1,0,0,-226,1027.94,18,27-05-2025,4,31-05-2025,79.20792079,1
BEACHWEAR T-52,MARKS AND SPENCER RELIANCE,25-04987,BUTTERMILK,Not Generated,MARK & SPENCER,8585-PET,29-12-2025,WOVEN,WOMEN,Not Generated,DRESS,BULK,MANESAR-7/4 (WOVEN),SP26,29-12-2025,MS11100451,INR,1455,1,89.55,51,74205,0,74205,828.64,0,0,0,0,0,-53,828.64,19,24-11-2025,5,29-11-2025,74.45544554,0
WOMENS RETAIL,J.CREW OPERATING CORP,1800985,YA0633 PINK PATTY,4000021415,J.CREW,CS735/260099-HO25,18-12-2025,WOVEN,WOMEN,RGHR25107112,DRESS,BULK,GURUGRAM-215 (WOVEN),HO25,18-12-2025,JC11100460,USD,36.2,89.54,89.6,32,1158.4,33,103723.14,1157.62,0,1,1,1,0,-64,1157.62,18,05-11-2025,5,10-11-2025,80,1
LUCKY BRAND,ASTRA CONNECT LLC,2JZ3000,CREAM/PINK MULTI,4000017887,LUCKY BRAND DUNGAREE,150374,10-10-2025,WOVEN,WOMEN,RGHR25104809,TOP,BULK,MANESAR-166 (WOVEN),HO25,10-10-2025,LU11100013,USD,7.2,87.15,88,7200,51840,7914,4517856,51339.27,0,1,1,1,0,-133,51339.27,19,20-09-2025,24,14-10-2025,98.41584158,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1113136,ECLIPSE NAVY,4000018066,SUPER DRY,M1012368A BUY1,01-09-2025,KNITS,MEN,RGHR25104679,TEE,BULK,MANESAR-407 (KNITS),SS26,01-09-2025,SU10100191,GBP,4.65,116.4,86.2,500,2325,500,270630,3139.56,0,1,1,1,0,-172,3139.56,19,20-07-2025,7,27-07-2025,94.45544554,1
J.JILL,JILL ACQUISITION LLC,3045957,BLACK MULTI,4000016857,J.JILL,KTP331952,06-08-2025,KNITS,WOMEN,RGHR25103639,TUNIC,BULK,MANESAR-407 (KNITS),HO25,06-08-2025,JJ10100154,USD,12.49,85.09,85.1,2490,31100.1,2539,2646307.51,31096.45,0,1,1,1,0,-198,31096.45,42,24-06-2025,20,14-07-2025,87.72277228,1
CALVIN KLEIN,PVH CORP.,4100039028,TURBULENCE,4000020030,PVH CORP,4RE825G,24-11-2025,KNITS,MEN,RGUP25102037,TEE,BULK,NOIDA - D-53-54 (KNITS),SP26,24-11-2025,PC10100125,USD,5.6,87.75,87.8,1601,8965.6,1601,786731.4,8960.49,0,0,1,0,0,-88,8960.49,61,26-10-2025,5,31-10-2025,92.67326733,1
CALVIN KLEIN,PVH CORP.,4300167768,BRILLIANT WHITE,Not Generated,PVH CORP,47G138G,05-02-2026,WOVEN,WOMEN,Not Generated,SHIRT,BULK,NOIDA - A-36 (WOVEN),SU26,05-02-2026,PC11100073,USD,11.25,87.75,89.1,111,1248.75,0,109577.81,1229.83,0,0,0,0,0,-15,1229.83,57,02-01-2026,6,08-01-2026,119.009901,0
CALVIN KLEIN,PVH CORP.,4500621025,BRILLIANT WHITE,4000017983,PVH CORP,47E205G-HO25,06-08-2025,KNITS,WOMENS,RGUP25101502,TOP,BULK,NOIDA - B-33-34 (KNITS),HO25,06-08-2025,PC10100070,USD,6.75,87.29,85.1,348,2349,348,205044.21,2409.45,0,0,1,0,0,-198,2409.45,6,03-07-2025,9,12-07-2025,87.72277228,1
CROWN & IVY,BELK,2690060,MAYAN JADE,4000018208,BELK INTL.,72627SPK000004,20-10-2025,KNITS,WOMEN,RGHR25105062,TEE,BULK,GURUGRAM-871 (KNITS),SP26,20-10-2025,BI10100182,USD,4.14,88,87,2942,12179.88,2942,1071829.44,12319.88,0,0,1,0,0,-123,12319.88,10,21-09-2025,15,06-10-2025,89.30693069,1
LANDS END,LANDS END EUROPE LIMITED,216759,WHITE,4000020798,LANDS END,544607,15-12-2025,KNITS,WOMEN,RGUP25102153,TOP,BULK,NOIDA - D-49-50 (KNITS),SP26,15-12-2025,LE10100019,USD,7.25,89.59,89.6,963,6981.75,963,625494.98,6980.97,0,0,1,0,0,-67,6980.97,61,25-11-2025,7,02-12-2025,116.8316832,1
COLLECTION T-41,MARKS AND SPENCER PLC,UK2,BLACK MIX,Not Generated,MARK & SPENCER,4289C,22-03-2026,KNITS,WOMEN,Not Generated,TEE,BULK,GURUGRAM-232 (KNITS),SS26,22-03-2026,MS10100089,USD,4.35,89.6,89.1,2000,8700,0,779520,8748.82,0,0,0,0,0,30,8748.82,34,07-02-2026,4,11-02-2026,72.27722772,0
QVC INC.,QVC INC.,484564,TEA ROSE,4000021002,GENIEMODE GLOBAL INC,105562 MAMA,18-12-2025,KNITS,WOMEN,RGUP25102297,PANTS,BULK,NOIDA - B-33-34 (KNITS),SP26,18-12-2025,GE10100033,USD,7.4,89.54,89.6,24,177.6,24,15902.3,177.48,0,1,1,1,0,-64,177.48,26,28-11-2025,7,05-12-2025,80,1
OUTLET,CHICOS RETAIL SERVICES INC.,4502223413,BLACK,4000018220,CHICO'S,202-19C76147,30-09-2025,KNITS,WOMEN,RGUP25101603,TEE,BULK,NOIDA - B-33-34 (KNITS),HO25,30-09-2025,CH10100037,USD,3.61,87.15,87.15,1000,3610,1009,314611.5,3610,0,0,1,0,0,-143,3610,27,30-08-2025,5,04-09-2025,71.08910891,1
QUINCE,LAST BRAND INC. (QUINCE),29208,FRUIT,4000018874,LAST BRAND INC.,BUK40010TF_HO25,18-10-2025,KNITS,KIDS,RGUP25101784,PAJAMA,BULK,NOIDA - D-53-54 (KNITS),HO25,18-10-2025,LI10100035,USD,7.89,87,87,71,560.19,71,48736.53,560.19,0,1,1,1,0,-125,560.19,82,14-09-2025,5,19-09-2025,73.26732673,1
TODDLER BOYS T-88,MARKS AND SPENCER PLC,Malaysia,NEUTRAL,Not Generated,MARK & SPENCER,8621V,01-02-2026,WOVEN,KIDS,Not Generated,TROUSER,BULK,MANESAR-7/4 (WOVEN),SU26,01-02-2026,MS11100639,USD,6,88,89.1,273,1638,0,144144,1617.78,0,1,0,0,0,-19,1617.78,68,31-12-2025,6,06-01-2026,85.94059406,0
CALVIN KLEIN,PVH CORP.,4300152385,BRIGHT WHITE,4000020049,PVH CORP,4RF822G,24-11-2025,KNITS,MEN,RGUP25102051,TEE,BULK,NOIDA - B-33-34 (KNITS),SP26,24-11-2025,PC10100112,USD,4.39,87.75,87.8,130,570.7,130,50078.93,570.38,0,0,1,0,0,-88,570.38,31,27-10-2025,4,31-10-2025,92.67326733,1
SLEEPWEAR T-37,MARKS AND SPENCER PLC,2012899055,BLOSSOM,4000021270,MARK & SPENCER,1840P-(REP)REG,21-12-2025,WOVEN,WOVEN,RGKA25100282,TROUSER,BULK,BANGALORE - JIGANI (WOVEN),SU26,21-12-2025,MS11100492,USD,5.4,89.59,89.55,2790,15066,2790,1349762.94,15072.73,0,0,1,0,0,-61,15072.73,88,13-11-2025,15,28-11-2025,84.15841584,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),TBA,ECLIPSE NAVY,Not Generated,SUPER DRY,W6012284A  SMS,10-10-2025,KNITS,WOMEN,Not Generated,TOP,BULK,GURUGRAM-232 (KNITS),AW26,10-10-2025,SU10100328,GBP,6.68,117.75,88,22,146.96,0,17304.54,196.64,0,0,0,0,0,-133,196.64,31,14-09-2025,7,21-09-2025,98.41584158,0
TOMMY BAHAMA SPORSTWEAR,TOMMY BAHAMA GLOBAL SOURCING,682258 B,COCONUT,Not Generated,TOMMY BAHAMA,261-SW222332,07-01-2026,KNITS,WOMEN,Not Generated,HODDIE,BULK,GURUGRAM-232 (KNITS),SP26,07-01-2026,TB10100024,USD,24.64,84.5,89.1,1549,38167.36,0,3225141.92,36196.88,0,0,0,0,0,-44,36196.88,43,28-11-2025,5,03-12-2025,65.34653465,0
KIDS UNI,HANNA ANDERSON,33282,HPR-31482,4000017535,HANNA ANDERSSON,83608,18-08-2025,KNITS,KIDS,RGUP25101416,TOP,BULK,NOIDA - D-53-54 (KNITS),HO25,18-08-2025,HA10100092,USD,6.15,86.9,86.9,2654,16322.1,2750,1418390.49,16322.1,0,0,1,0,0,-186,16322.1,68,27-07-2025,20,16-08-2025,88.71287129,1
CALVIN KLEIN,CALVIN KLEIN EUROPE BV,4500626623,MOCHA BROWN,4000017413,PVH CORP,47D203G-HO25,12-08-2025,KNITS,WOMENS,RGUP25101391,TOP,BULK,NOIDA - D-49-50 (KNITS),HO25,12-08-2025,PC10100068,USD,7.49,86.9,86.9,1,7.49,1,650.88,7.49,0,0,1,0,0,-192,7.49,31,30-06-2025,3,03-07-2025,65.34653465,1
ATS,PREMIUM BRANDS OPCO LLC,5013336,BLACK,4000020800,PREMIUM BRANDS,843394,05-12-2025,KNITS,WOMEN,RGHR25106707,TOP,BULK,GURUGRAM-294 (KNITS),SP26,05-12-2025,PB10100416,USD,10.42,89.59,89.6,539,5616.38,539,503171.48,5615.75,0,0,1,0,0,-77,5615.75,26,05-11-2025,5,10-11-2025,101.3861386,1
OUTLET,CHICOS RETAIL SERVICES INC.,4502229481,TIDEPOOL GREEN,Not Generated,CHICO'S,202-25C133729,20-01-2026,KNITS,WOMEN,Not Generated,TOP,BULK,MANESAR-407 (KNITS),SP26,20-01-2026,CH10100052,USD,3.56,87.8,89.1,1800,6408,0,562622.4,6314.51,0,0,0,0,0,-31,6314.51,40,09-12-2025,4,13-12-2025,81.58415842,0
GIRLS,HANNA ANDERSON,34574,5VP BLUEY,Not Generated,HANNA ANDERSSON,84611,16-01-2026,KNITS,GIRLS,Not Generated,JUMPSUIT,BULK,NOIDA - D-53-54 (KNITS),SU26,16-01-2026,HA10100217,USD,10.47,88,89.1,404,4229.88,0,372229.44,4177.66,0,0,0,0,0,-35,4177.66,62,10-12-2025,6,16-12-2025,94.05940594,0
AMERICAN EAGLE,AEO MANAGEMENT CO.,1310646,CW57 YELLOW,Not Generated,AMERICAN EAGLE,7014,13-01-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,MANESAR-7/4 (WOVEN),SP26,13-01-2026,AE11100048,USD,6.75,87.8,89.1,1000,6750,0,592650,6651.52,0,0,0,0,0,-38,6651.52,10,24-12-2025,7,31-12-2025,70.0990099,0
